model,split,users,Recall@10,NDCG@10,HitRate@10,gcn_parameters,last_10_epoch_losses
popularity,valid,57439,0.029997,0.015641,0.029997,,
popularity,test,57439,0.025906,0.013319,0.025906,,
lightgcn,valid,57439,0.034419,0.017785,0.034419,"{""epochs"":30}",legacy: losses not recorded
lightgcn,test,57439,0.029440,0.015050,0.029440,"{""epochs"":30}",legacy: losses not recorded
lightgcn,valid,57439,0.041157,0.021144,0.041157,"{""epochs"":50}",legacy: losses not recorded
lightgcn,test,57439,0.035533,0.017896,0.035533,"{""epochs"":50}",legacy: losses not recorded
lightgcn,valid,57439,0.056686,0.030215,0.056686,"{""epochs"":50,""learning_rate"":0.05}",legacy: losses not recorded
lightgcn,test,57439,0.046867,0.024631,0.046867,"{""epochs"":50,""learning_rate"":0.05}",legacy: losses not recorded
lightgcn,valid,57439,0.056303,0.030357,0.056303,"{""epochs"":60,""learning_rate"":0.05}","[0.03324035927653313,0.03163376823067665,0.030467860400676727,0.02940424159169197,0.027804315090179443,0.02698466368019581,0.02585477940738201,0.025126788765192032,0.023647157475352287,0.022737959399819374]"
lightgcn,test,57439,0.046589,0.024594,0.046589,"{""epochs"":60,""learning_rate"":0.05}","[0.03324035927653313,0.03163376823067665,0.030467860400676727,0.02940424159169197,0.027804315090179443,0.02698466368019581,0.02585477940738201,0.025126788765192032,0.023647157475352287,0.022737959399819374]"
lightgcn,valid,57439,0.056843,0.030264,0.056843,"{""epochs"":60,""learning_rate"":0.04}","[0.051071539521217346,0.0486687533557415,0.04676438495516777,0.04573959857225418,0.04341962933540344,0.04196161404252052,0.04062370955944061,0.03934737294912338,0.03731692582368851,0.03578795865178108]"
lightgcn,test,57439,0.047355,0.024845,0.047355,"{""epochs"":60,""learning_rate"":0.04}","[0.051071539521217346,0.0486687533557415,0.04676438495516777,0.04573959857225418,0.04341962933540344,0.04196161404252052,0.04062370955944061,0.03934737294912338,0.03731692582368851,0.03578795865178108]"
lightgcn,valid,57439,0.054406,0.028965,0.054406,"{""epochs"":60,""learning_rate"":0.03}","[0.08587285876274109,0.08260209858417511,0.07917803525924683,0.07777925580739975,0.07408630847930908,0.0714951753616333,0.06958913058042526,0.0674092024564743,0.06464450806379318,0.06218930333852768]"
lightgcn,test,57439,0.046031,0.024019,0.046031,"{""epochs"":60,""learning_rate"":0.03}","[0.08587285876274109,0.08260209858417511,0.07917803525924683,0.07777925580739975,0.07408630847930908,0.0714951753616333,0.06958913058042526,0.0674092024564743,0.06464450806379318,0.06218930333852768]"
lightgcn,valid,57439,0.057626,0.030740,0.057626,"{""epochs"":70,""learning_rate"":0.04}","[0.034801073372364044,0.03455636650323868,0.03360003978013992,0.031967658549547195,0.030203184112906456,0.03021899238228798,0.02924497239291668,0.028609491884708405,0.02760137803852558,0.026952240616083145]"
lightgcn,test,57439,0.047720,0.024932,0.047720,"{""epochs"":70,""learning_rate"":0.04}","[0.034801073372364044,0.03455636650323868,0.03360003978013992,0.031967658549547195,0.030203184112906456,0.03021899238228798,0.02924497239291668,0.028609491884708405,0.02760137803852558,0.026952240616083145]"
lightgcn,valid,57439,0.057435,0.030914,0.057435,"{""epochs"":80,""learning_rate"":0.04}","[0.02604747749865055,0.025461845099925995,0.025510122999548912,0.02445189468562603,0.023601334542036057,0.02297532558441162,0.022366387769579887,0.02172071300446987,0.021439092233777046,0.020658038556575775]"
lightgcn,test,57439,0.047685,0.025073,0.047685,"{""epochs"":80,""learning_rate"":0.04}","[0.02604747749865055,0.025461845099925995,0.025510122999548912,0.02445189468562603,0.023601334542036057,0.02297532558441162,0.022366387769579887,0.02172071300446987,0.021439092233777046,0.020658038556575775]"
lightgcn,valid,57439,0.055781,0.029506,0.055781,"{""epochs"":70,""learning_rate"":0.04,""num_layers"":4}","[0.06822904199361801,0.0676952376961708,0.0660741925239563,0.06373615562915802,0.06056021526455879,0.060206785798072815,0.05844144895672798,0.056940045207738876,0.05540654808282852,0.053798843175172806]"
lightgcn,test,57439,0.047598,0.024753,0.047598,"{""epochs"":70,""learning_rate"":0.04,""num_layers"":4}","[0.06822904199361801,0.0676952376961708,0.0660741925239563,0.06373615562915802,0.06056021526455879,0.060206785798072815,0.05844144895672798,0.056940045207738876,0.05540654808282852,0.053798843175172806]"
lightgcn,valid,57439,0.051237,0.028041,0.051237,"{""epochs"":70,""learning_rate"":0.04,""num_layers"":2}","[0.013942085206508636,0.013816440477967262,0.01373718585819006,0.01290525309741497,0.012307560071349144,0.012558132410049438,0.012383699417114258,0.012104272842407227,0.01167235430330038,0.011510465294122696]"
lightgcn,test,57439,0.040077,0.021840,0.040077,"{""epochs"":70,""learning_rate"":0.04,""num_layers"":2}","[0.013942085206508636,0.013816440477967262,0.01373718585819006,0.01290525309741497,0.012307560071349144,0.012558132410049438,0.012383699417114258,0.012104272842407227,0.01167235430330038,0.011510465294122696]"
lightgcn,valid,57439,0.057783,0.030840,0.057783,"{""epochs"":70,""lambda_reg"":0.001,""learning_rate"":0.04}","[0.040075041353702545,0.03988857939839363,0.038989339023828506,0.037430934607982635,0.03574139624834061,0.03579516336321831,0.034883156418800354,0.03430033475160599,0.03335588425397873,0.0327417366206646]"
lightgcn,test,57439,0.047859,0.025004,0.047859,"{""epochs"":70,""lambda_reg"":0.001,""learning_rate"":0.04}","[0.040075041353702545,0.03988857939839363,0.038989339023828506,0.037430934607982635,0.03574139624834061,0.03579516336321831,0.034883156418800354,0.03430033475160599,0.03335588425397873,0.0327417366206646]"
lightgcn,valid,57439,0.058358,0.031145,0.058358,"{""epochs"":70,""lambda_reg"":0.01,""learning_rate"":0.04}","[0.08140793442726135,0.08144783228635788,0.0807592123746872,0.07951124757528305,0.0781228095293045,0.0782230868935585,0.07753226161003113,0.07709656655788422,0.07636565715074539,0.07574363052845001]"
lightgcn,test,57439,0.048852,0.025546,0.048852,"{""epochs"":70,""lambda_reg"":0.01,""learning_rate"":0.04}","[0.08140793442726135,0.08144783228635788,0.0807592123746872,0.07951124757528305,0.0781228095293045,0.0782230868935585,0.07753226161003113,0.07709656655788422,0.07636565715074539,0.07574363052845001]"
lightgcn,valid,57439,0.057017,0.030234,0.057017,"{""epochs"":70,""lambda_reg"":0.1,""learning_rate"":0.04}","[0.25316566228866577,0.2540629506111145,0.25382789969444275,0.2532445788383484,0.2519043982028961,0.25234633684158325,0.25210466980934143,0.25218895077705383,0.251852422952652,0.25122734904289246]"
lightgcn,test,57439,0.048887,0.025376,0.048887,"{""epochs"":70,""lambda_reg"":0.1,""learning_rate"":0.04}","[0.25316566228866577,0.2540629506111145,0.25382789969444275,0.2532445788383484,0.2519043982028961,0.25234633684158325,0.25210466980934143,0.25218895077705383,0.251852422952652,0.25122734904289246]"
lightgcn,valid,57439,0.059054,0.031200,0.059054,"{""epochs"":70,""lambda_reg"":0.05,""learning_rate"":0.04}","[0.17965972423553467,0.1802215278148651,0.17982405424118042,0.1788720339536667,0.17755243182182312,0.17770785093307495,0.1771978735923767,0.1769203245639801,0.1763639748096466,0.1756606549024582]"
lightgcn,test,57439,0.049217,0.025747,0.049217,"{""epochs"":70,""lambda_reg"":0.05,""learning_rate"":0.04}","[0.17965972423553467,0.1802215278148651,0.17982405424118042,0.1788720339536667,0.17755243182182312,0.17770785093307495,0.1771978735923767,0.1769203245639801,0.1763639748096466,0.1756606549024582]"
lightgcn,valid,57439,0.054545,0.028934,0.054545,"{""embedding_dim"":32,""epochs"":70,""lambda_reg"":0.05,""learning_rate"":0.04}","[0.19667905569076538,0.19724346697330475,0.19638164341449738,0.1949690878391266,0.19316765666007996,0.19334757328033447,0.1924375295639038,0.1918666660785675,0.19138678908348083,0.1898786872625351]"
lightgcn,test,57439,0.046519,0.024020,0.046519,"{""embedding_dim"":32,""epochs"":70,""lambda_reg"":0.05,""learning_rate"":0.04}","[0.19667905569076538,0.19724346697330475,0.19638164341449738,0.1949690878391266,0.19316765666007996,0.19334757328033447,0.1924375295639038,0.1918666660785675,0.19138678908348083,0.1898786872625351]"
