section,channel,compared_model,query_id,queries,results,mean_relevance@10,excellent_rate@10,acceptable_rate@10,bad_rate@10,precision_strict@10,precision_loose@10,ndcg@10,mrr_strict@10,mrr_loose@10,wins,losses,ties
overall,e5,,,30,300,1.656667,0.756667,0.900000,0.100000,0.756667,0.900000,0.924928,0.866667,0.927778,,,
overall,blair,,,30,300,1.620000,0.736667,0.883333,0.116667,0.736667,0.883333,0.921301,0.838095,0.906667,,,
overall,bm25,,,30,300,1.413333,0.643333,0.770000,0.230000,0.643333,0.770000,0.912412,0.880556,0.950000,,,
by_query,e5,,EN-01,1,10,1.600000,0.600000,1.000000,0.000000,0.600000,1.000000,0.951518,1.000000,1.000000,,,
by_query,blair,,EN-01,1,10,1.800000,0.900000,0.900000,0.100000,0.900000,0.900000,1.000000,1.000000,1.000000,,,
by_query,bm25,,EN-01,1,10,1.400000,0.600000,0.800000,0.200000,0.600000,0.800000,0.887141,1.000000,1.000000,,,
by_query,e5,,EN-02,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,blair,,EN-02,1,10,1.900000,0.900000,1.000000,0.000000,0.900000,1.000000,0.995955,1.000000,1.000000,,,
by_query,bm25,,EN-02,1,10,1.800000,0.800000,1.000000,0.000000,0.800000,1.000000,0.963466,1.000000,1.000000,,,
by_query,e5,,EN-03,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,blair,,EN-03,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,bm25,,EN-03,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,e5,,EN-04,1,10,1.600000,0.800000,0.800000,0.200000,0.800000,0.800000,0.974846,1.000000,1.000000,,,
by_query,blair,,EN-04,1,10,0.900000,0.400000,0.500000,0.500000,0.400000,0.500000,0.912923,1.000000,1.000000,,,
by_query,bm25,,EN-04,1,10,1.200000,0.600000,0.600000,0.400000,0.600000,0.600000,0.894385,1.000000,1.000000,,,
by_query,e5,,EN-05,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,blair,,EN-05,1,10,1.000000,0.400000,0.600000,0.400000,0.400000,0.600000,0.736550,0.500000,0.500000,,,
by_query,bm25,,EN-05,1,10,1.200000,0.600000,0.600000,0.400000,0.600000,0.600000,0.772295,0.500000,0.500000,,,
by_query,e5,,EN-06,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,blair,,EN-06,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,bm25,,EN-06,1,10,0.800000,0.300000,0.500000,0.500000,0.300000,0.500000,0.548325,0.166667,0.500000,,,
by_query,e5,,EN-07,1,10,1.600000,0.600000,1.000000,0.000000,0.600000,1.000000,0.823879,0.333333,1.000000,,,
by_query,blair,,EN-07,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,bm25,,EN-07,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,e5,,EN-08,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,blair,,EN-08,1,10,1.700000,0.700000,1.000000,0.000000,0.700000,1.000000,0.970572,1.000000,1.000000,,,
by_query,bm25,,EN-08,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,e5,,EN-09,1,10,1.200000,0.500000,0.700000,0.300000,0.500000,0.700000,0.844508,1.000000,1.000000,,,
by_query,blair,,EN-09,1,10,1.700000,0.700000,1.000000,0.000000,0.700000,1.000000,0.992509,1.000000,1.000000,,,
by_query,bm25,,EN-09,1,10,0.900000,0.400000,0.500000,0.500000,0.400000,0.500000,0.939523,1.000000,1.000000,,,
by_query,e5,,EN-10,1,10,1.800000,0.800000,1.000000,0.000000,0.800000,1.000000,0.979174,1.000000,1.000000,,,
by_query,blair,,EN-10,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,bm25,,EN-10,1,10,1.600000,0.700000,0.900000,0.100000,0.700000,0.900000,0.968954,1.000000,1.000000,,,
by_query,e5,,EN-11,1,10,1.900000,0.900000,1.000000,0.000000,0.900000,1.000000,0.989712,1.000000,1.000000,,,
by_query,blair,,EN-11,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,bm25,,EN-11,1,10,1.800000,0.800000,1.000000,0.000000,0.800000,1.000000,0.952330,1.000000,1.000000,,,
by_query,e5,,EN-12,1,10,1.200000,0.200000,1.000000,0.000000,0.200000,1.000000,0.966452,1.000000,1.000000,,,
by_query,blair,,EN-12,1,10,0.100000,0.000000,0.100000,0.900000,0.000000,0.100000,0.386853,0.000000,0.200000,,,
by_query,bm25,,EN-12,1,10,0.700000,0.100000,0.600000,0.400000,0.100000,0.600000,0.887956,1.000000,1.000000,,,
by_query,e5,,EN-13,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,blair,,EN-13,1,10,1.900000,0.900000,1.000000,0.000000,0.900000,1.000000,0.989712,1.000000,1.000000,,,
by_query,bm25,,EN-13,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,e5,,EN-14,1,10,1.200000,0.400000,0.800000,0.200000,0.400000,0.800000,0.712234,0.333333,1.000000,,,
by_query,blair,,EN-14,1,10,1.300000,0.400000,0.900000,0.100000,0.400000,0.900000,0.900777,1.000000,1.000000,,,
by_query,bm25,,EN-14,1,10,0.400000,0.000000,0.400000,0.600000,0.000000,0.400000,0.710675,0.000000,0.500000,,,
by_query,e5,,EN-15,1,10,1.100000,0.300000,0.800000,0.200000,0.300000,0.800000,0.867304,1.000000,1.000000,,,
by_query,blair,,EN-15,1,10,0.700000,0.000000,0.700000,0.300000,0.000000,0.700000,0.953164,0.000000,1.000000,,,
by_query,bm25,,EN-15,1,10,1.200000,0.500000,0.700000,0.300000,0.500000,0.700000,0.919718,1.000000,1.000000,,,
by_query,e5,,EN-16,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,blair,,EN-16,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,bm25,,EN-16,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,e5,,EN-17,1,10,1.200000,0.600000,0.600000,0.400000,0.600000,0.600000,0.784869,0.500000,0.500000,,,
by_query,blair,,EN-17,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,bm25,,EN-17,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,e5,,EN-18,1,10,1.800000,0.900000,0.900000,0.100000,0.900000,0.900000,0.997188,1.000000,1.000000,,,
by_query,blair,,EN-18,1,10,1.900000,0.900000,1.000000,0.000000,0.900000,1.000000,0.978301,1.000000,1.000000,,,
by_query,bm25,,EN-18,1,10,1.400000,0.600000,0.800000,0.200000,0.600000,0.800000,0.879567,1.000000,1.000000,,,
by_query,e5,,EN-19,1,10,1.100000,0.500000,0.600000,0.400000,0.500000,0.600000,0.889957,1.000000,1.000000,,,
by_query,blair,,EN-19,1,10,1.500000,0.600000,0.900000,0.100000,0.600000,0.900000,0.853702,1.000000,1.000000,,,
by_query,bm25,,EN-19,1,10,0.800000,0.400000,0.400000,0.600000,0.400000,0.400000,0.797972,1.000000,1.000000,,,
by_query,e5,,EN-20,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,blair,,EN-20,1,10,1.900000,0.900000,1.000000,0.000000,0.900000,1.000000,0.993217,1.000000,1.000000,,,
by_query,bm25,,EN-20,1,10,1.900000,0.900000,1.000000,0.000000,0.900000,1.000000,0.985016,1.000000,1.000000,,,
by_query,e5,,EN-21,1,10,1.500000,0.600000,0.900000,0.100000,0.600000,0.900000,0.846807,0.500000,1.000000,,,
by_query,blair,,EN-21,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,bm25,,EN-21,1,10,1.500000,0.500000,1.000000,0.000000,0.500000,1.000000,0.858617,0.500000,1.000000,,,
by_query,e5,,EN-22,1,10,1.500000,0.500000,1.000000,0.000000,0.500000,1.000000,0.975482,1.000000,1.000000,,,
by_query,blair,,EN-22,1,10,1.100000,0.300000,0.800000,0.200000,0.300000,0.800000,0.922973,1.000000,1.000000,,,
by_query,bm25,,EN-22,1,10,1.900000,0.900000,1.000000,0.000000,0.900000,1.000000,0.998167,1.000000,1.000000,,,
by_query,e5,,EN-23,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,blair,,EN-23,1,10,1.600000,0.800000,0.800000,0.200000,0.800000,0.800000,0.991829,1.000000,1.000000,,,
by_query,bm25,,EN-23,1,10,1.300000,0.600000,0.700000,0.300000,0.600000,0.700000,0.936219,1.000000,1.000000,,,
by_query,e5,,EN-24,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,blair,,EN-24,1,10,1.700000,0.800000,0.900000,0.100000,0.800000,0.900000,0.822251,0.500000,0.500000,,,
by_query,bm25,,EN-24,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,e5,,EN-25,1,10,1.200000,0.600000,0.600000,0.400000,0.600000,0.600000,0.772541,0.500000,0.500000,,,
by_query,blair,,EN-25,1,10,1.400000,0.600000,0.800000,0.200000,0.600000,0.800000,0.837085,0.500000,1.000000,,,
by_query,bm25,,EN-25,1,10,0.200000,0.100000,0.100000,0.900000,0.100000,0.100000,1.000000,1.000000,1.000000,,,
by_query,e5,,ZH-01,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,blair,,ZH-01,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,bm25,,ZH-01,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,e5,,ZH-02,1,10,1.200000,0.600000,0.600000,0.400000,0.600000,0.600000,0.698437,0.333333,0.333333,,,
by_query,blair,,ZH-02,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,bm25,,ZH-02,1,10,0.900000,0.300000,0.600000,0.400000,0.300000,0.600000,0.973431,1.000000,1.000000,,,
by_query,e5,,ZH-03,1,10,1.000000,0.300000,0.700000,0.300000,0.300000,0.700000,0.672940,0.500000,0.500000,,,
by_query,blair,,ZH-03,1,10,0.800000,0.100000,0.700000,0.300000,0.100000,0.700000,0.589460,0.142857,0.500000,,,
by_query,bm25,,ZH-03,1,10,0.500000,0.200000,0.300000,0.700000,0.200000,0.300000,0.610450,0.250000,1.000000,,,
by_query,e5,,ZH-04,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,blair,,ZH-04,1,10,1.900000,0.900000,1.000000,0.000000,0.900000,1.000000,0.978301,1.000000,1.000000,,,
by_query,bm25,,ZH-04,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,e5,,ZH-05,1,10,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,
by_query,blair,,ZH-05,1,10,1.800000,0.900000,0.900000,0.100000,0.900000,0.900000,0.832898,0.500000,0.500000,,,
by_query,bm25,,ZH-05,1,10,1.000000,0.400000,0.600000,0.400000,0.400000,0.600000,0.888163,1.000000,1.000000,,,
pairwise_wins,e5,blair,,30,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,11,4
pairwise_wins,blair,e5,,30,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,15,4
pairwise_wins,e5,bm25,,30,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,8,7
pairwise_wins,bm25,e5,,30,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,15,7
pairwise_wins,blair,bm25,,30,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,10,5
pairwise_wins,bm25,blair,,30,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,15,5
